date_start,date_stop,view_content,Add_to_cart,initiate_checkout,purchase,conversion_value
2022-05-16,2022-05-16,31,0,0,0,0
2022-05-16,2022-05-16,2,0,0,0,0
2022-05-16,2022-05-16,0,0,0,0,0
2022-05-17,2022-05-17,23,1,1,0,0
2022-05-17,2022-05-17,18,4,2,0,0
2022-05-17,2022-05-17,0,0,0,0,0
2022-05-18,2022-05-18,10,1,0,0,0
2022-05-18,2022-05-18,22,1,0,0,0
2022-05-18,2022-05-18,0,0,0,0,0
2022-05-19,2022-05-19,9,1,1,1,599
2022-05-19,2022-05-19,19,3,2,0,0
2022-05-19,2022-05-19,0,0,0,0,0
2022-05-20,2022-05-20,10,2,1,0,0
2022-05-20,2022-05-20,12,0,0,0,0
2022-05-20,2022-05-20,0,0,0,0,0
2022-05-20,2022-05-20,1,0,0,0,0
2022-05-21,2022-05-21,12,0,2,0,0
2022-05-21,2022-05-21,2,0,2,0,0
2022-05-21,2022-05-21,2,0,0,0,0
2022-05-21,2022-05-21,4,1,0,0,0
2022-05-22,2022-05-22,5,1,0,0,0
2022-05-22,2022-05-22,60,8,5,1,599
2022-05-23,2022-05-23,7,2,2,0,0
2022-05-23,2022-05-23,52,5,3,0,0
2022-05-24,2022-05-24,2,0,1,1,599
2022-05-24,2022-05-24,22,0,4,0,0
2022-05-24,2022-05-24,9,0,0,0,0
2022-05-25,2022-05-25,2,2,0,0,0
2022-05-25,2022-05-25,23,4,2,0,0
2022-05-26,2022-05-26,28,0,0,0,0
2022-05-27,2022-05-27,17,3,3,0,0
2022-05-28,2022-05-28,28,4,3,1,599
2022-05-29,2022-05-29,29,0,0,0,0
2022-05-30,2022-05-30,4,0,0,0,0
2022-05-31,2022-05-31,17,2,1,0,0
2022-06-01,2022-06-01,16,2,2,0,0
2022-06-01,2022-06-01,7,1,0,0,0
2022-06-02,2022-06-02,32,0,1,0,0
2022-06-02,2022-06-02,6,0,0,0,0
2022-06-03,2022-06-03,1,0,0,0,0
2022-06-03,2022-06-03,8,0,0,0,0
2022-06-03,2022-06-03,7,2,1,1,1198
2022-06-04,2022-06-04,2,0,0,0,0
2022-06-04,2022-06-04,14,2,1,0,0
2022-06-04,2022-06-04,8,0,0,0,0
2022-06-05,2022-06-05,3,2,2,0,0
2022-06-05,2022-06-05,6,1,1,0,0
2022-06-05,2022-06-05,8,0,0,0,0
2022-06-06,2022-06-06,1,0,0,0,0
2022-06-06,2022-06-06,9,0,0,0,0
2022-06-06,2022-06-06,5,0,0,0,0
2022-06-07,2022-06-07,0,0,0,0,0
2022-06-07,2022-06-07,6,0,0,0,0
